method,performance,log_loss,auc,edit_rate
EIC-Greedy,0.8731316946336328,0.1459086078250561,0.9871010523957001,1.0
Fixed-Frame,0.7837216955334745,0.27750748377554996,0.9467704528935086,0.0
Flat-Search,0.8731316946336328,0.1459086078250561,0.9871010523957001,1.0
MDL-Flat,0.8731316946336328,0.1459086078250561,0.9871010523957001,1.0
Oracle,0.8731316946336328,0.1459086078250561,0.9871010523957001,1.0
