method,performance,false_reframe_rate,correct_frame_decision
EIC-Greedy,0.8786035700441807,0.0,1.0
EIC-NoCost,0.878565530890997,0.048,0.952
EIC-NoMargin,0.8785904279375361,0.008,0.992
Fixed-Frame,0.8786035700441807,0.0,1.0
Flat-Search,0.878433322335491,0.576,0.424
MDL-Flat,0.8786125880182541,0.2,0.8
Oracle,0.8786035700441807,0.0,1.0
Random-Edit,0.878341927744692,0.648,0.352
