method,performance,frame_recovery,fde,reframe_rate
EIC-Greedy,0.9639641862985714,1.0,0.30199453462788034,1.0
EIC-NoCost,0.9639641862985714,1.0,0.30199453462788034,1.0
EIC-NoMargin,0.9639641862985714,1.0,0.30199453462788034,1.0
Fixed-Frame,0.3599751170428107,0.0,0.0,0.0
Flat-Search,0.9639641862985714,1.0,0.30199453462788034,1.0
MDL-Flat,0.9639641862985714,1.0,0.30199453462788034,1.0
Oracle,0.9639641862985714,1.0,0.30199453462788034,1.0
Random-Edit,0.6228744287917701,0.352,0.13156989425583165,0.648
