suite,benchmark,defect,control,method,seed,level,performance,loss,initial_loss,frame_recovered,reframe_cost,reframed,fde,candidates
multiedit,hidden_variable_pair,multi_edit_variable_addition,False,Oracle,8,L3,0.9630610426520426,0.26947756750515417,4.070178077769263,1.0,2.0,1.0,0.1099595973582475,37
multiedit,hidden_variable_pair,multi_edit_variable_addition,False,Fixed-Frame,9,L3,0.611789963654903,4.658966661436841,4.658966661436841,0.0,0.0,0.0,0.0,37
multiedit,hidden_variable_pair,multi_edit_variable_addition,False,EIC-Greedy,9,L3,0.7668401226506673,2.232411145755367,4.658966661436841,0.0,1.0,1.0,0.07752507949788212,37
multiedit,hidden_variable_pair,multi_edit_variable_addition,False,EIC-Beam,9,L3,0.9698673393474309,0.22811315860354572,4.658966661436841,1.0,2.0,1.0,0.11935912523084262,37
multiedit,hidden_variable_pair,multi_edit_variable_addition,False,Oracle,9,L3,0.9698673393474309,0.22811315860354572,4.658966661436841,1.0,2.0,1.0,0.11935912523084262,37
multiedit,hidden_variable_pair,multi_edit_variable_addition,False,Fixed-Frame,10,L3,0.6102683379656626,4.83260564053255,4.83260564053255,0.0,0.0,0.0,0.0,37
multiedit,hidden_variable_pair,multi_edit_variable_addition,False,EIC-Greedy,10,L3,0.7664171787383742,2.3062807514268955,4.83260564053255,0.0,1.0,1.0,0.07807442038635581,37
multiedit,hidden_variable_pair,multi_edit_variable_addition,False,EIC-Beam,10,L3,0.9668775628020209,0.2592312227986882,4.83260564053255,1.0,2.0,1.0,0.11886974161211943,37
multiedit,hidden_variable_pair,multi_edit_variable_addition,False,Oracle,10,L3,0.9668775628020209,0.2592312227986882,4.83260564053255,1.0,2.0,1.0,0.11886974161211943,37
multiedit,hidden_variable_pair,multi_edit_variable_addition,False,Fixed-Frame,11,L3,0.6516590737271653,3.8004646283768033,3.8004646283768033,0.0,0.0,0.0,0.0,37
multiedit,hidden_variable_pair,multi_edit_variable_addition,False,EIC-Greedy,11,L3,0.7671195139343143,2.158354155052214,3.8004646283768033,0.0,1.0,1.0,0.05773022010357454,37
multiedit,hidden_variable_pair,multi_edit_variable_addition,False,EIC-Beam,11,L3,0.9618887120543922,0.28169649072831265,3.8004646283768033,1.0,2.0,1.0,0.10340987944240898,37
multiedit,hidden_variable_pair,multi_edit_variable_addition,False,Oracle,11,L3,0.9618887120543922,0.28169649072831265,3.8004646283768033,1.0,2.0,1.0,0.10340987944240898,37
multiedit,hidden_variable_pair,multi_edit_variable_addition,False,Fixed-Frame,12,L3,0.5802375982313512,4.840470855211431,4.840470855211431,0.0,0.0,0.0,0.0,37
multiedit,hidden_variable_pair,multi_edit_variable_addition,False,EIC-Greedy,12,L3,0.7286308846579851,2.491969848229511,4.840470855211431,0.0,1.0,1.0,0.07419664321331693,37
multiedit,hidden_variable_pair,multi_edit_variable_addition,False,EIC-Beam,12,L3,0.9630143847262336,0.2569744905307143,4.840470855211431,1.0,2.0,1.0,0.12759226216496078,37
multiedit,hidden_variable_pair,multi_edit_variable_addition,False,Oracle,12,L3,0.9630143847262336,0.2569744905307143,4.840470855211431,1.0,2.0,1.0,0.12759226216496078,37
multiedit,hidden_variable_pair,multi_edit_variable_addition,False,Fixed-Frame,13,L3,0.5962059292569167,4.744217571640013,4.744217571640013,0.0,0.0,0.0,0.0,37
multiedit,hidden_variable_pair,multi_edit_variable_addition,False,EIC-Greedy,13,L3,0.7286909851242963,2.6080852239130166,4.744217571640013,0.0,1.0,1.0,0.06624252793368979,37
multiedit,hidden_variable_pair,multi_edit_variable_addition,False,EIC-Beam,13,L3,0.9580250892001704,0.306911986443698,4.744217571640013,1.0,2.0,1.0,0.12060638664775121,37
