suite,benchmark,defect,control,method,seed,level,performance,loss,initial_loss,frame_recovered,reframe_cost,reframed,fde,candidates
symbolic,symbolic_generation,generated_variable,False,Raw-Feature-Search,8,L4,0.5166474495824906,2.8384227624309917,2.832662815204882,0.0,1.0,1.0,0.0,7
symbolic,symbolic_generation,generated_variable,False,EIC-Symbolic,8,L4,0.9489676247301428,0.1631555091633712,2.832662815204882,1.0,1.0,1.0,0.21590646031866012,7
symbolic,symbolic_generation,generated_variable,False,Oracle,8,L4,0.9489676247301428,0.1631555091633712,2.832662815204882,1.0,1.0,1.0,0.21590646031866012,7
symbolic,symbolic_generation,generated_variable,False,Fixed-Frame,9,L4,0.5127148775848392,2.624210739556235,2.624210739556235,0.0,0.0,0.0,0.0,7
symbolic,symbolic_generation,generated_variable,False,Raw-Feature-Search,9,L4,0.5161270084517248,2.588607898928211,2.624210739556235,0.0,1.0,1.0,0.0017060654334427605,7
symbolic,symbolic_generation,generated_variable,False,EIC-Symbolic,9,L4,0.9422864509023291,0.1691166284739758,2.624210739556235,1.0,1.0,1.0,0.21478578665874493,7
symbolic,symbolic_generation,generated_variable,False,Oracle,9,L4,0.9422864509023291,0.1691166284739758,2.624210739556235,1.0,1.0,1.0,0.21478578665874493,7
symbolic,symbolic_generation,generated_variable,False,Fixed-Frame,10,L4,0.5144088006795191,2.469139797860114,2.469139797860114,0.0,0.0,0.0,0.0,7
symbolic,symbolic_generation,generated_variable,False,Raw-Feature-Search,10,L4,0.5144088006795191,2.469139797860114,2.469139797860114,0.0,0.0,0.0,0.0,7
symbolic,symbolic_generation,generated_variable,False,EIC-Symbolic,10,L4,0.928097363131451,0.20264436940077665,2.469139797860114,1.0,1.0,1.0,0.20684428122596593,7
symbolic,symbolic_generation,generated_variable,False,Oracle,10,L4,0.928097363131451,0.20264436940077665,2.469139797860114,1.0,1.0,1.0,0.20684428122596593,7
symbolic,symbolic_generation,generated_variable,False,Fixed-Frame,11,L4,0.523677849717662,2.3375378428489535,2.3375378428489535,0.0,0.0,0.0,0.0,7
symbolic,symbolic_generation,generated_variable,False,Raw-Feature-Search,11,L4,0.5160892925287517,2.4096971301782477,2.3375378428489535,0.0,1.0,1.0,0.0,7
symbolic,symbolic_generation,generated_variable,False,EIC-Symbolic,11,L4,0.9342346492172455,0.18091028080195395,2.3375378428489535,1.0,1.0,1.0,0.20527839974979178,7
symbolic,symbolic_generation,generated_variable,False,Oracle,11,L4,0.9342346492172455,0.18091028080195395,2.3375378428489535,1.0,1.0,1.0,0.20527839974979178,7
symbolic,symbolic_generation,generated_variable,False,Fixed-Frame,12,L4,0.4991992373010095,2.179714794672695,2.179714794672695,0.0,0.0,0.0,0.0,7
symbolic,symbolic_generation,generated_variable,False,Raw-Feature-Search,12,L4,0.49162478704772733,2.246773017045397,2.179714794672695,0.0,1.0,1.0,0.0,7
