suite,benchmark,defect,control,method,seed,level,performance,loss,initial_loss,frame_recovered,reframe_cost,reframed,fde,candidates,auc,selected_feature
realdata,breast_cancer_wisconsin,real_data_variable_addition,False,Flat-Search,5,real,0.8730904537678875,0.14535669893586028,0.2279939292198265,1.0,1.0,1.0,0.029377090215986612,29,0.9792792792792793,worst smoothness
realdata,breast_cancer_wisconsin,real_data_variable_addition,False,MDL-Flat,5,real,0.8730904537678875,0.14535669893586028,0.2279939292198265,1.0,1.0,1.0,0.029377090215986612,29,0.9792792792792793,worst smoothness
realdata,breast_cancer_wisconsin,real_data_variable_addition,False,EIC-Greedy,5,real,0.8730904537678875,0.14535669893586028,0.2279939292198265,1.0,1.0,1.0,0.029377090215986612,29,0.9792792792792793,worst smoothness
realdata,breast_cancer_wisconsin,real_data_variable_addition,False,Oracle,5,real,0.8730904537678875,0.14535669893586028,0.2279939292198265,1.0,1.0,1.0,0.029377090215986612,29,0.9792792792792793,worst smoothness
realdata,breast_cancer_wisconsin,real_data_variable_addition,False,Fixed-Frame,6,real,0.76160909835171,0.31300952439278956,0.31300952439278956,0.0,0.0,0.0,0.0,29,0.9501133786848073,none
realdata,breast_cancer_wisconsin,real_data_variable_addition,False,Flat-Search,6,real,0.8637430444015872,0.15775172544840982,0.31300952439278956,1.0,1.0,1.0,0.05106697302493862,29,0.9861111111111112,worst concave points
realdata,breast_cancer_wisconsin,real_data_variable_addition,False,MDL-Flat,6,real,0.8637430444015872,0.15775172544840982,0.31300952439278956,1.0,1.0,1.0,0.05106697302493862,29,0.9861111111111112,worst concave points
realdata,breast_cancer_wisconsin,real_data_variable_addition,False,EIC-Greedy,6,real,0.8637430444015872,0.15775172544840982,0.31300952439278956,1.0,1.0,1.0,0.05106697302493862,29,0.9861111111111112,worst concave points
realdata,breast_cancer_wisconsin,real_data_variable_addition,False,Oracle,6,real,0.8637430444015872,0.15775172544840982,0.31300952439278956,1.0,1.0,1.0,0.05106697302493862,29,0.9861111111111112,worst concave points
realdata,breast_cancer_wisconsin,real_data_variable_addition,False,Fixed-Frame,7,real,0.832509927072918,0.20118687775408564,0.20118687775408564,0.0,0.0,0.0,0.0,29,0.9806128830519074,none
realdata,breast_cancer_wisconsin,real_data_variable_addition,False,Flat-Search,7,real,0.9038963965596758,0.10632148087557888,0.20118687775408564,1.0,1.0,1.0,0.03569323474337888,29,0.9949968730456535,worst concave points
realdata,breast_cancer_wisconsin,real_data_variable_addition,False,MDL-Flat,7,real,0.9038963965596758,0.10632148087557888,0.20118687775408564,1.0,1.0,1.0,0.03569323474337888,29,0.9949968730456535,worst concave points
realdata,breast_cancer_wisconsin,real_data_variable_addition,False,EIC-Greedy,7,real,0.9038963965596758,0.10632148087557888,0.20118687775408564,1.0,1.0,1.0,0.03569323474337888,29,0.9949968730456535,worst concave points
realdata,breast_cancer_wisconsin,real_data_variable_addition,False,Oracle,7,real,0.9038963965596758,0.10632148087557888,0.20118687775408564,1.0,1.0,1.0,0.03569323474337888,29,0.9949968730456535,worst concave points
realdata,breast_cancer_wisconsin,real_data_variable_addition,False,Fixed-Frame,8,real,0.7866086624964609,0.27128017739634186,0.27128017739634186,0.0,0.0,0.0,0.0,29,0.9471471471471471,none
realdata,breast_cancer_wisconsin,real_data_variable_addition,False,Flat-Search,8,real,0.8284725022582212,0.2070406649276049,0.27128017739634186,1.0,1.0,1.0,0.020931919880880168,29,0.9744744744744744,mean concave points
realdata,breast_cancer_wisconsin,real_data_variable_addition,False,MDL-Flat,8,real,0.8284725022582212,0.2070406649276049,0.27128017739634186,1.0,1.0,1.0,0.020931919880880168,29,0.9744744744744744,mean concave points
realdata,breast_cancer_wisconsin,real_data_variable_addition,False,EIC-Greedy,8,real,0.8284725022582212,0.2070406649276049,0.27128017739634186,1.0,1.0,1.0,0.020931919880880168,29,0.9744744744744744,mean concave points
realdata,breast_cancer_wisconsin,real_data_variable_addition,False,Oracle,8,real,0.8284725022582212,0.2070406649276049,0.27128017739634186,1.0,1.0,1.0,0.020931919880880168,29,0.9744744744744744,mean concave points
realdata,breast_cancer_wisconsin,real_data_variable_addition,False,Fixed-Frame,9,real,0.7477894350854289,0.33727484380112716,0.33727484380112716,0.0,0.0,0.0,0.0,29,0.927405247813411,none
realdata,breast_cancer_wisconsin,real_data_variable_addition,False,Flat-Search,9,real,0.8679904762701646,0.15208637345549283,0.33727484380112716,1.0,1.0,1.0,0.06010052059236781,29,0.9860058309037901,worst concave points
realdata,breast_cancer_wisconsin,real_data_variable_addition,False,MDL-Flat,9,real,0.8679904762701646,0.15208637345549283,0.33727484380112716,1.0,1.0,1.0,0.06010052059236781,29,0.9860058309037901,worst concave points
realdata,breast_cancer_wisconsin,real_data_variable_addition,False,EIC-Greedy,9,real,0.8679904762701646,0.15208637345549283,0.33727484380112716,1.0,1.0,1.0,0.06010052059236781,29,0.9860058309037901,worst concave points
realdata,breast_cancer_wisconsin,real_data_variable_addition,False,Oracle,9,real,0.8679904762701646,0.15208637345549283,0.33727484380112716,1.0,1.0,1.0,0.06010052059236781,29,0.9860058309037901,worst concave points
realdata,breast_cancer_wisconsin,real_data_variable_addition,False,Fixed-Frame,10,real,0.7903474034391964,0.2652663824142401,0.2652663824142401,0.0,0.0,0.0,0.0,29,0.9481818181818181,none
realdata,breast_cancer_wisconsin,real_data_variable_addition,False,Flat-Search,10,real,0.838264780527316,0.19294049234770821,0.2652663824142401,1.0,1.0,1.0,0.023958688544059803,29,0.9712121212121212,worst smoothness
